Oxide;Element;Valency;Cation;Factor
Ac2O3;Ac;3;Ac3+;1.10570544
AgO;Ag;2;Ag2+;1.148369316
AgO2;Ag;4;Ag4+;1.074229241
Al2O3;Al;3;Al3+;1.889644747
As2O3;As;3;As3+;1.320306311
As2O5;As;5;As5+;1.533977604
At2O7;At;7;At7+;1.266624446
Au2O;Au;1;Au1+;1.040582726
AuO;Au;2;Au2+;1.081197967
B2O3;B;3;B3+;3.219575016
BaO;Ba;2;Ba2+;1.116944041
BeO;Be;2;Be2+;2.77546489
Bi2O3;Bi;3;Bi3+;1.114827202
Bi2O5;Bi;5;Bi5+;1.191469081
Bk2O;Bk;1;Bk1+;1.032417923
Br2O7;Br;7;Br7+;1.700969553
CaO;Ca;2;Ca2+;1.399188471
Cb2O5;Cb;5;Cb5+;1.430615165
CdO;Cd;1;Cd1+;1.142334933
Ce2O3;Ce;3;Ce3+;1.171234481
CeO2;Ce;4;Ce4+;1.228350326
CfO;Cf;2;Cf2+;1.063716626
Cl2O7;Cl;7;Cl7+;2.579313903
CO2;C;4;C4+;3.664345914
Co3O4;Co;2.5;Co2.5+;1.362026696
CoO;Co;3;Co3+;1.271455817
Cr2O3;Cr;3;Cr3+;1.461560947
CrO3;Cr;6;Cr6+;1.923446817
Cs2O;Cs;1;Cs1+;1.060220526
Cu2O;Cu;1;Cu1+;1.125872551
CuO;Cu;2;Cu2+;1.251877817
Dy2O3;Dy;3;Dy3+;1.147842057
DyO;Dy;2;Dy2+;1.098418278
Er2O3;Er;3;Er3+;1.143510577
ErO2;Er;4;Er4+;1.191327138
Eu2O3;Eu;3;Eu3+;1.157943492
EuO;Eu;2;Eu2+;1.105338786
F2O7;F;7;F7+;3.94788788
Fe2O3;Fe;3;Fe3+;1.286504567
Fe3O4;Fe;2.5;Fe2.5+;2.177700348
FeO;Fe;2;Fe2+;1.381978994
FmO2;Fm;4;Fm4+;1.124479928
Fr2O;Fr;1;Fr1+;1.035840066
FrO;Fr;2;Fr2+;1.071696496
Ga2O3;Ga;3;Ga3+;1.344266703
Gd2O3;Gd;3;Gd3+;1.152604887
GdO;Gd;2;Gd2+;1.101806963
GeO2;Ge;4;Ge4+;1.440507058
H2O;H;1;H1+;8.936550492
HfO2;Hf;4;Hf4+;1.179245283
HgO;Hg;1;Hg1+;1.079796998
Ho2O3;Ho;3;Ho3+;1.145475372
I2O7;I;7;I7+;1.441337561
In2O3;In;3;In3+;1.209043646
Ir2O3;Ir;3;Ir3+;1.124859393
IrO2;Ir;4;Ir4+;1.166452817
K2O;K;1;K1+;1.204674136
Li2O;Li;1;Li1+;2.152389152
Lu2O3;Lu;3;Lu3+;1.137138958
Lu2O7;Lu;7;Lu7+;1.320132013
Lw2O7;Lw;7;Lw7+;1.213739531
Md2O5;Md;5;Md5+;1.154867768
Md2O7;Md;7;Md7+;1.216989169
MgO;Mg;2;Mg2+;1.658099818
Mn2O3;Mn;3;Mn3+;1.436781609
Mn2O7;Mn;7;Mn7+;1.429796969
Mn3O4;Mn;4;Mn4+;1.388310426
MnO;Mn;2;Mn2+;1.291155584
MnO2;Mn;4;Mn4+;1.582528881
MoO3;Mo;6;Mo6+;1.500375094
N2O5;N;5;N5+;3.855050116
Na2O;Na;1;Na1+;1.347890551
Nb2O5;Nb;5;Nb5+;1.430410528
Nd2O3;Nd;3;Nd3+;1.166452817
NdO3;Nd;6;Nd6+;1.332800213
NiO;Ni;2;Ni2+;1.272588445
NoO3;No;6;No6+;1.185255423
Np2O7;Np;7;Np7+;1.236246755
Os2O3;Os;3;Os3+;1.126126126
OsO;Os;2;Os2+;1.084128361
P2O5;P;5;P5+;2.292000917
Pa2O5;Pa;5;Pa5+;1.173158142
PbO;Pb;2;Pb2+;1.077237962
PbO2;Pb;4;Pb4+;1.15446779
PdO;Pd;2;Pd2+;1.150350857
PdO2;Pd;4;Pd4+;1.300728408
Pm2O3;Pm;3;Pm3+;1.165501166
Pm2O7;Pm;7;Pm7+;1.386193513
PoO2;Po;4;Po4+;1.153136531
PoO3;Po;6;Po6+;1.229709788
Pr2O3;Pr;3;Pr3+;1.170275015
Pr2O5;Pr;5;Pr5+;1.283861856
PrO2;Pr;4;Pr4+;1.227144435
PtO;Pt;2;Pt2+;1.082016879
PtO2;Pt;4;Pt4+;1.164008846
RaO;Ra;2;Ra2+;1.070778456
Rb2O;Rb;1;Rb1+;1.093613298
RbO;Rb;2;Rb2+;1.187225454
Re2O7;Re;7;Re7+;1.300728408
ReO;Re;2;Re2+;1.085894234
ReO3;Re;6;Re6+;1.257703434
Rh2O3;Rh;3;Rh3+;1.233197682
RhO;Rh;2;Rh2+;1.155535013
Ru2O3;Ru;3;Ru3+;1.23747061
RuO;Ru;2;Ru2+;1.158345882
RuO4;Ru;8;Ru8+;1.63291966
Sb2O3;Sb;3;Sb3+;1.199616123
Sb2O4;Sb;4;Sb4+;1.262945188
Sb2O5;Sb;5;Sb5+;1.328550551
Sc2O3;Sc;3;Sc3+;1.533977604
SeO2;Se;4;Se4+;1.405283867
SeO3;Se;6;Se6+;1.607975559
SiO;Si;2;Si2+;1.569612306
SiO2;Si;4;Si4+;2.139037433
Sm2O3;Sm;3;Sm3+;1.159689203
SnO;Sn;2;Sn2+;1.13481616
SnO2;Sn;4;Sn4+;1.269680041
SO2;S;4;S4+;1.998001998
SO3;S;6;S6+;2.496878901
SO4;S;8;S8+;2.995805872
SrO;Sr;2;Sr2+;1.182592242
Ta2O5;Ta;5;Ta5+;1.221001221
Tb2O;Tb;2;Tb2+;1.050309841
Tb2O3;Tb;3;Tb3+;1.150880424
Tb4O7;Tb;3.5;Tb3.5+;1.176193837
Tc2O7;Tc;7;Tc7+;1.571338781
TeO;Te;2;Te2+;1.125492403
TeO2;Te;4;Te4+;1.250781739
TeO3;Te;6;Te6+;1.376083666
ThO2;Th;4;Th4+;1.137915339
Ti2O3;Ti;3;Ti3+;1.501050736
TiO;Ti;2;Ti2+;1.334044824
TiO2;Ti;4;Ti4+;1.668335002
Tl2O3;Tl;3;Tl3+;1.11744329
Tm2O3;Tm;3;Tm3+;1.142074006
Tm2O5;Tm;5;Tm5+;1.236705417
U3O8;U;5.3;U5.3+;1.179245283
UO2;U;4;U4+;1.134429949
UO3;U;6;U6+;1.201634223
V2O3;V;3;V3+;1.471237311
V2O5;V;5;V5+;1.785714286
VO2;V;4;V4+;1.628134158
WO3;W;6;W6+;1.261034048
Y2O3;Y;3;Y3+;1.27000254
Yb2O3;Yb;3;Yb3+;1.138692781
YbO3;Yb;6;Yb6+;1.277465508
ZnO;Zn;2;Zn2+;1.244709983
ZrO;Zr;2;Zr2+;1.175364363
ZrO2;Zr;4;Zr4+;1.350803728
