"","SAMPLE","MINERAL","GROUP","As","W","Fe","Co","Ni","Cu","Zn","Bi","Te","Pt","Au","Mo","S","Pb","Ag","Sb","Cr","V","Se","Mn","Cd","Hg"
"182","JB-0906-11_C3_Sulf-1-15","PYRITE","SULFIDE",0.023,0,45.994,0.001,0.938,0,0,0,0,0,0,0.2,52.002,0,0,0.002,0,0,0.023,0,0.052,0
"183","JB-0906-11_C3_Sulf-2-1","PYRITE","SULFIDE",0.02,0,46.215,0,0.075,0,0.036,0,0.057,0,0,0.07,51.258,0,0,0.028,0,0,0.023,0,0.024,0
"184","JB-0906-11_C3_Sulf-2-2","PYRITE","SULFIDE",0.01,0.008,46.227,0,0,0,0,0,0,0,0,0.13,52.597,0,0,0,0,0.01,0.007,0,0.031,0
"185","JB-0906-11_C3_Sulf-2-3","PYRITE","SULFIDE",0.297,0,45.545,0.388,0.052,0.047,0,0,0,0,0,0.11,51.612,0,0,0,0,0,0.03,0,0.002,0
"186","JB-0905-16_C1_Sulf-3-2","CHALCOPYRITE","SULFIDE",0.007,0,29.836,0,0,35.361,0.134,0,0.015,0,0.012,0.12,33.326,0,0,0.014,0,0,0.026,0,0.003,0
"187","JB-0905-16_C1_Sulf-3-3","CHALCOPYRITE","SULFIDE",0.019,0.043,29.516,0,0,36.833,0.141,0,0.051,0,0,0.16,33.227,0,0,0,0,0.01,0.039,0,0.032,0
"188","JB-0905-16_C1_Sulf-4-2","CHALCOPYRITE","SULFIDE",0.027,0,29.478,0,0,30.936,0.842,0,0.006,0,0,0.2,30.63,0,0,0.009,0,0,0.028,0,0.105,0
"189","JB-0906-11_C2_Sulf-1-1","CHALCOPYRITE","SULFIDE",0.014,0.014,29.472,0,0,33.813,0,0,0,0,0.007,0.12,32.641,0,0,0,0.0065,0,0.012,0,0.002,0
"190","JB-0906-11_C2_Sulf-1-2","CHALCOPYRITE","SULFIDE",0.036,0.007,29.722,0,0,33.731,0,0,0,0.004,0.05,0.09,32.993,0,0,0,0.02,0,0.016,0,0.001,0
"191","JB-0906-11_C2_Sulf-1-3","CHALCOPYRITE","SULFIDE",0.002,0,29.542,0,0,33.68,0.05,0,0.021,0,0,0.08,32.588,0,0,0.001,0.0065,0,0,0,0,0
"192","JB-0906-11_C2_Sulf-1-4","CHALCOPYRITE","SULFIDE",0.021,0.095,29.578,0,0,34.023,0.004,0,0,0,0.005,0.13,32.616,0,0,0.011,0,0,0.014,0,0,0
"193","JB-0906-11_C3_Sulf-1-1","CHALCOPYRITE","SULFIDE",0.022,0.025,28.867,0.012,0,34.224,0,0,0.005,0,0.022,0.07,32.637,0,0,0,0.02,0,0.025,0,0.015,0
"194","JB-0906-11_C3_Sulf-1-11","CHALCOPYRITE","SULFIDE",0.017,0,29.707,0,0,33.448,0.034,0,0.057,0.016,0,0.07,32.997,0,0,0,0,0.01,0.011,0,0.009,0
"195","JB-0905-16_C1_Sulf-3-1","DIGENITE","SULFIDE",0,0,5.537,1.06,4.18,59.081,0.127,0,0.028,0,0,0.16,30.882,0,0.087,0.021,0.01,0,0.041,0,0.219,0
"196","JB-0905-16_C1_Sulf-4-1","DIGENITE","SULFIDE",0,0,3.465,0.17,1.549,60.326,9.146,0,0.006,0.011,0.007,0.12,30.265,0.018,0.041,0,0.0065,0,0.026,0,0.251,0
"197","JB-0906-11_C3_Sulf-1-12","PYRRHOTITE","SULFIDE",0.01,0.01,56.538,0,2.487,0,0.015,0,0.002,0,0.005,0.13,37.213,0,0,0,0,0,0.005,0,0.045,0
"198","44-5_C1_Sulf-1-1","PYRITE","SULFIDE",0.005,0,46.031,0,0,0.007,0,0,0,0,0.056,0.09,51.318,0,0,0,0.028,0,0,0,0,0
"199","44-5_C1_Sulf-1-2","PYRITE","SULFIDE",0.011,0,46.415,0,0.097,0.047,0.003,0,0,0,0.031,0.13,51.575,0,0,0,0,0,0,0,0.016,0
"200","44-5_C1_Sulf-1-3","PYRITE","SULFIDE",0.026,0,46.384,0,0.117,0.013,0.031,0,0.028,0,0,0.11,51.01,0,0,0.003,0,0,0.009,0,0.096,0
"201","44-5_C1_Sulf-1-4","PYRITE","SULFIDE",0.002,0,46.135,0,0,0.061,0.02,0,0.015,0,0,0.09,51.361,0,0,0,0,0,0.002,0,0,0
"202","44-5_C1_Sulf-1-5","PYRITE","SULFIDE",0,0,45.559,0,0.17,0,0,0,0,0,0,0.2,51.236,0,0,0,0,0,0,0,0.012,0
"203","44-5_C1_Sulf-1-6","PYRITE","SULFIDE",0.014,0.042,46.249,0,0,0.005,0,0,0.025,0,0,0.2,51.234,0,0,0,0,0,0,0,0.046,0
"204","47-6_C1_Sulf-1-1","PYRITE","SULFIDE",0,0.008,44.79,0,0.096,0.009,0,0,0,0.001,0.021,0.09,47.471,0,0,0,0,0.01,0,0,2.11,0
"205","47-6_C1_Sulf-1-2","PYRITE","SULFIDE",0.004,0,46.206,0,0.033,0,0.019,0,0,0,0.001,0.13,53.295,0,0,0,0,0,0,0,0,0
"206","47-6_C1_Sulf-2-1","PYRITE","SULFIDE",0.001,0.061,47.063,0,0.109,0.038,0.022,0,0.005,0.021,0.009,0.09,50.301,0,0,0,0,0.01,0.012,0,0.669,0
"207","47-6_C1_Sulf-2-2","PYRITE","SULFIDE",0.009,0.004,46.298,0,0,0.06,0.006,0,0,0,0,0.09,49.078,0,0,0.005,0,0,0,0,1.061,0
"208","47-6_C1_Sulf-3-1","PYRITE","SULFIDE",0.001,0,46.777,0,0,0,0.006,0,0,0,0,0.13,53.232,0,0,0.001,0,0,0.003,0,0.006,0
"209","47-6_C1_Sulf-3-2","PYRITE","SULFIDE",0.023,0,46.945,0,0,0,0.039,0,0.006,0,0.027,0.07,52.107,0,0,0,0.01,0,0.015,0,0,0
"210","47-6_C1_Sulf-3-3","PYRITE","SULFIDE",0.018,0.044,45.954,0,0.077,0.078,0.058,0,0.047,0,0,0.11,47.811,0,0,0.013,0,0,0,0,1.213,0
"211","47-6_C1_Sulf-4-1","PYRITE","SULFIDE",0.003,0,46.664,0,0.187,0,0,0,0.001,0,0,0.2,52.503,0,0,0,0,0,0,0,0.012,0
"212","47-6_C1_Sulf-4-2","PYRITE","SULFIDE",0.001,0.03,47.184,0,0.003,0.027,0.054,0,0,0.038,0.007,0.13,52.104,0,0,0,0.01,0,0.003,0,0.023,0
"213","47-6_C1_Sulf-4-3","PYRITE","SULFIDE",0,0,46.441,0,0,0.032,0,0,0,0,0,0.07,51.958,0,0,0,0,0,0.005,0,0.061,0
"214","DEN-642_C1_Sulf-3-1","PYRITE","SULFIDE",0,0.013,45.135,0,4.246,0.027,0,0,0,0,0,0.13,50.463,0,0,0,0.02,0,0,0,0.036,0
"215","DEN-642_C1_Sulf-3-2","PYRITE","SULFIDE",0,0.053,42.518,0.012,0.477,0.039,0,0,0.036,0,0.017,0.18,47.419,0,0,0,0.0065,0,0,0,0.018,0
"216","DEN-642_C1_Sulf-3-3","PYRITE","SULFIDE",0.004,0.01,43.972,0,0,0.009,0,0,0.045,0,0.007,0.16,49.985,0,0,0,0,0.01,0,0,0.005,0
"217","DEN-642_C1_Sulf-3-4","PYRITE","SULFIDE",0.008,0.027,44.32,0,0.019,0.086,0,0,0.041,0,0,0.16,50.934,0,0,0,0,0,0,0,0,0
"218","DEN-642_C1_Sulf-3-5","PYRITE","SULFIDE",0.031,0.004,43.862,0.034,0.489,0,0.011,0,0.053,0,0,0.12,49.863,0,0,0,0,0,0.02,0,0,0
"219","DEN-642_C1_Sulf-6-1","PYRITE","SULFIDE",0.008,0.013,43.973,0.052,0.479,0.008,0.03,0,0.097,0,0,0.12,49.106,0,0,0,0,0,0.006,0,0,0
"220","DEN-642_C1_Sulf-6-2","PYRITE","SULFIDE",0,0,43.681,0.015,0.866,0.222,0.041,0,0,0,0,0.09,50.374,0,0,0,0,0,0.01,0,0.006,0
"221","DEN-642_C1_Sulf-6-3","PYRITE","SULFIDE",0.008,0.021,43.389,0.044,0.269,0.057,0.041,0,0,0.033,0,0.08,48.693,0,0,0,0.0015,0,0,0,0,0
"222","DEN-642_C1_Sulf-6-4","PYRITE","SULFIDE",0.005,0,43.59,0.036,0.431,0,0,0,0.014,0,0,0.07,49.337,0,0,0.018,0.01,0.002,0,0,0,0
"223","DEN-642_C1_Sulf-2-1","CHALCOPYRITE","SULFIDE",0,0,34.072,0.053,0.276,24.706,0.031,0,0.007,0,0.002,0.05,34.776,0.083,0,0.053,0,0.002,0.008,0,0,0
"224","GUUD-205-11_C1_Sulf-1-1","PYRITE","SULFIDE",0.003,0.021,46.268,0,0.031,0,0,0,0,0,0.006,0.07,52.415,0,0,0,0,0.01,0,0,0.058,0
"225","GUUD-205-11_C1_Sulf-1-3","PYRITE","SULFIDE",0.012,0.003,46.304,0,0.019,0,0.008,0,0,0,0,0.12,51.482,0,0,0.018,0,0,0.004,0,0,0
"226","GUUD-205-11_C2_Sulf-1-1","PYRITE","SULFIDE",0.024,0.03,46.6,0,0,0,0,0,0,0,0.015,0.2,51.43,0,0,0.024,0,0,0.008,0,0.032,0
"227","GUUD-205-11_C2_Sulf-1-2","PYRITE","SULFIDE",0.026,0.009,46.026,0,0,0,0,0,0,0,0.024,0.2,50.855,0,0,0.021,0,0,0,0,0.041,0
"228","GUUD-205-11_C2_Sulf-2-2","PYRITE","SULFIDE",0.015,0.013,46.24,0,0.048,0,0,0,0,0,0.049,0.12,51.345,0,0,0,0,0,0,0,0.027,0
"229","GUUD-205-11_C3_Sulf-1-2","PYRITE","SULFIDE",0.008,0,45.815,0.026,0,0.06,0.017,0,0,0,0.037,0.09,52.204,0,0,0,0,0,0.017,0,0.028,0
"230","GUUD-205-11_C3_Sulf-1-3","PYRITE","SULFIDE",0.019,0.057,46.179,0,0.013,0.015,0.04,0,0,0,0.001,0.11,51.41,0,0,0.011,0,0,0.042,0,0,0
"231","GUUD-205-11_C1_Sulf-1-2","PYRITE","SULFIDE",0,0,46.253,0,0,0,0,0,0.05,0,0.011,0.11,51.494,0,0,0,0,0.01,0.009,0,0.03,0
"232","GUUD-205-11_C1_Sulf-1-4","PYRITE","SULFIDE",0.009,0.046,46.735,0.009,0,0.03,0.021,0,0.056,0,0.057,0.12,52.173,0,0,0,0,0.01,0.016,0,0.023,0
"233","GUUD-205-11_C1_Sulf-1-5","PYRITE","SULFIDE",0,0,46.055,0,0,0.006,0,0,0.09,0,0,0.12,51.485,0,0,0.015,0.01,0,0,0,0,0
"234","GUUD-205-11_C2_Sulf-2-1","PYRITE","SULFIDE",0,0.013,45.714,0,0,0,0,0,0.004,0.002,0,0.07,51.212,0,0,0.032,0,0,0.013,0,0.011,0
"235","GUUD-205-11_C3_Sulf-1-1","PYRITE","SULFIDE",0,0,45.963,0.017,0.17,0,0,0,0,0,0,0.13,51.122,0,0,0,0.02,0,0,0,0.025,0
"236","GUUD-205-11_C1_Sulf-2-1","CHALCOPYRITE","SULFIDE",0,0,29.976,0,0,34.775,0,0,0,0,0,0.07,32.745,0,0,0,0.01,0,0,0,0.065,0
"237","GUUD-205-11_C1_Sulf-2-2","CHALCOPYRITE","SULFIDE",0,0,29.761,0,0,34.248,0,0,0.015,0,0,0.07,32.542,0,0,0.044,0,0,0.006,0,0,0
"238","GUUD-205-11_C1_Sulf-2-3","CHALCOPYRITE","SULFIDE",0.001,0.007,29.889,0,0,35.181,0,0,0.026,0,0,0.18,32.666,0,0,0,0.0065,0.01,0.009,0,0.049,0
"239","GUUD-205-11_C1_Sulf-2-4","CHALCOPYRITE","SULFIDE",0,0.056,29.924,0,0,35.098,0.024,0,0,0,0,0.08,32.545,0,0,0.011,0,0,0.002,0,0.032,0
"240","GUUD-206-14_C1_Sulf-3-1","CHALCOPYRITE","SULFIDE",0,0.009,29.22,0,0,34.801,0.039,0,0.083,0,0,0.11,32.846,0,0,0,0.01,0,0.018,0,0,0
"241","GUUD-206-14_C1_Sulf-3-2","CHALCOPYRITE","SULFIDE",0.001,0,28.949,0,0.006,33.736,0.315,0,0,0,0,0.08,32.423,0,0,0.001,0,0,0,0,0.066,0
"242","GUUD-206-14_C1_Sulf-4-1","CHALCOPYRITE","SULFIDE",0,0.032,29.994,0,0,35.273,0.025,0,0,0,0,0.07,32.917,0,0,0.015,0.028,0,0.019,0,0,0
"243","GUUD-206-14_C1_Sulf-8-1","CHALCOPYRITE","SULFIDE",0,0,29.12,0,0,33.718,0.092,0,0.064,0,0.05,0.07,31.873,0,0.005,0.005,0.02,0.01,0.004,0,0.079,0
"244","GUUD-206-14_C1_Sulf-9-1","CHALCOPYRITE","SULFIDE",0.045,0,30.117,0,0,33.377,0.016,0,0.024,0,0.003,0.09,33.326,0,0,0,0,0,0,0,0,0
"245","GUUD-206-14_C1_Sulf-9-2","CHALCOPYRITE","SULFIDE",0.018,0.065,29.421,0,0,35.209,0.024,0,0.012,0,0,0.08,33.151,0,0,0,0,0.01,0.005,0,0.047,0
"246","GUUD-206-14_C1_Sulf-11-1","CHALCOPYRITE","SULFIDE",0.003,0,30.078,0,0,34.565,0.033,0,0.051,0,0,0.09,32.976,0,0,0,0.01,0.01,0.007,0,0.03,0
"247","GUUD-206-14_C1_Sulf-11-2","CHALCOPYRITE","SULFIDE",0.007,0.028,30.082,0,0,34.453,0.088,0,0.027,0.021,0,0.11,32.82,0,0,0,0,0,0,0,0,0
"248","GUUD-206-14_C1_Sulf-1-1","PYRRHOTITE","SULFIDE",0,0,58.504,0.223,0.576,0.001,0.054,0,0.04,0,0.039,0.07,36.648,0,0,0,0,0,0.011,0,0,0
"249","GUUD-206-14_C1_Sulf-1-2","PYRRHOTITE","SULFIDE",0.006,0,58.229,0.274,0.524,0.074,0.012,0,0.026,0.009,0,0.07,36.378,0,0,0.03,0.01,0.002,0,0,0.001,0
"250","GUUD-206-14_C1_Sulf-1-3","PYRRHOTITE","SULFIDE",0,0,58.517,0.274,0.444,0,0.046,0,0.007,0.025,0,0.08,36.749,0,0,0.007,0.0065,0,0,0,0,0
"251","GUUD-206-14_C1_Sulf-1-4","PYRRHOTITE","SULFIDE",0.025,0,58.408,0.272,0.567,0.018,0.046,0,0,0,0,0.09,36.609,0,0,0.004,0.01,0.01,0,0,0.035,0
"252","GUUD-206-14_C1_Sulf-1-5","PYRRHOTITE","SULFIDE",0.007,0.009,58.526,0.253,0.319,0.022,0,0,0.039,0,0,0.18,36.633,0,0,0.01,0.01,0,0.023,0,0.029,0
"253","GUUD-206-14_C1_Sulf-10-1","PYRRHOTITE","SULFIDE",0.007,0.077,59.252,0.145,0.425,0,0.035,0,0.065,0,0,0.11,37.062,0,0,0,0.01,0,0.029,0,0.037,0
"254","GUUD-206-14_C1_Sulf-10-2","PYRRHOTITE","SULFIDE",0,0.02,58.868,0.149,0.471,0,0.023,0,0,0,0.01,0.09,37.023,0,0,0.009,0,0,0,0,0.07,0
"255","GUUD-206-14_C1_Sulf-5-1","PYRRHOTITE","SULFIDE",0.015,0,58.626,0.122,0.595,0,0.015,0,0,0,0,0.07,37.114,0,0,0,0,0,0.028,0,0.039,0
"256","GUUD-207-6_C1_Sulf-1-1","PYRRHOTITE","SULFIDE",0.028,0,59.29,0.071,0.068,0.048,0,0,0,0,0,0.07,38.845,0.003,0,0,0,0,0.004,0,0.017,0
"257","GUUD-207-6_C1_Sulf-1-2","PYRRHOTITE","SULFIDE",0,0,58.504,0.062,0.321,0,0,0,0,0,0.063,0.12,38.209,0,0,0,0,0,0.007,0,0.059,0
"258","GUUD-207-6_C1_Sulf-1-3","PYRRHOTITE","SULFIDE",0.009,0.023,58.663,0.065,0.217,0,0,0,0.051,0,0,0.12,37.687,0,0,0,0.005,0,0.009,0,0,0
"259","GUUD-207-6_C1_Sulf-1-4","PYRRHOTITE","SULFIDE",0.002,0,59.317,0.101,0.158,0,0.005,0,0,0,0,0.13,38.113,0,0,0,0,0,0.007,0,0.037,0
"260","GUUD-207-6_C1_Sulf-1-5","PYRRHOTITE","SULFIDE",0,0.005,59.082,0.074,0.386,0.112,0.015,0,0.025,0,0.056,0.07,38.172,0,0,0,0,0,0.007,0,0.058,0
"261","GUUD-207-6_C1_Sulf-1-6","PYRRHOTITE","SULFIDE",0,0.018,58.88,0.043,0.105,0.009,0.026,0,0,0.032,0,0.09,38.028,0,0,0,0.01,0.01,0.01,0,0.044,0
"262","GUUD-207-6_C2_Sulf-1-1","PYRRHOTITE","SULFIDE",0,0.045,59.598,0.039,0.034,0,0.023,0,0.002,0,0.01,0.08,38.105,0,0,0,0,0,0,0,0,0
"263","GUUD-207-6_C2_Sulf-1-2","PYRRHOTITE","SULFIDE",0.029,0.014,59.07,0.048,0.115,0,0,0,0,0.013,0,0.13,37.928,0,0,0,0,0,0.005,0,0,0
"264","GUUD-207-6_C2_Sulf-1-3","PYRRHOTITE","SULFIDE",0.003,0,59.097,0.101,0.085,0.037,0,0,0,0,0.083,0.07,37.728,0,0,0.001,0,0.002,0,0,0.014,0
"265","GUUD-206-14_C1_Sulf-2-1","SPHALERITE","SULFIDE",0.017,0.038,6.917,0.162,0,0.019,53.736,0,0.003,0,0.011,0.12,29.732,0,0.222,0,0.02,0,0.011,0,3.685,0
"266","GUUD-206-14_C1_Sulf-6-1","SPHALERITE","SULFIDE",0.02,0,7.108,0.134,0,0.006,53.608,0,0,0,0.056,0.11,29.885,0,0.273,0,0.0065,0,0,0,4.286,0
"267","GUUD-206-14_C1_Sulf-6-2","SPHALERITE","SULFIDE",0,0.071,6.483,0.134,0,0.028,52,0,0,0,0.037,0.11,30.434,0,0.205,0,0,0,0.003,0,4.826,0
"268","GUUD-206-14_C1_Sulf-7-1","SPHALERITE","SULFIDE",0.004,0,7.252,0.145,0,0.104,54.019,0,0,0.008,0,0.11,30.143,0,0.238,0,0.02,0,0.008,0,4.177,0
"269","GUUD-206-14_C1_Sulf-7-2","SPHALERITE","SULFIDE",0,0,7.011,0.126,0,0.204,53.862,0,0,0.002,0,0.12,29.795,0,0.243,0,0,0,0,0,4.244,0
"270","GUUD-206-14_C1_Sulf-12-1","SPHALERITE","SULFIDE",0,0.002,7.392,0.165,0,0,53.986,0,0,0,0,0.11,29.958,0,0.198,0,0.02,0.01,0.028,0.001,3.656,0
